network,inputfile,objective,delta,optimizer,status,optval,time,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,VanillaMIPGLPK_1000.0m,success,-0.085004005,1.345811007,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Sherlock_Gurobi_8threads_1000.0m,success,-0.085004005,2.10329856,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Sherlock_Gurobi_1threads_1000.0m,success,-0.085004005,0.015159012,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Sherlock_GLPK_1000.0m,success,-0.085004005,0.91108743,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,LBFGS,success,-0.073511617,0.324944745,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,PGD,success,-0.079085915,0.044538237,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,FGSM,success,-0.073511617,0.0002461,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,Marabounosbt_ReLUViolation,success,-0.073511617,0.081164924,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,Marabousbt_ReLUViolation,success,-0.073511617,0.116445562,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,Marabounosbt_EarliestReLU,success,-0.073511617,0.088439392,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,Marabousbt_EarliestReLU,success,-0.073511617,0.115739588,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,MarabouBinarySearch_nosbt_ReLUViolation,success,-0.07355337,0.443508338,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,MarabouBinarySearch_sbt_ReLUViolation,success,-0.07355337,0.522763987,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,MarabouBinarySearch_nosbt_EarliestReLU,success,-0.07355337,0.412077575,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,MarabouBinarySearch_sbt_EarliestReLU,success,-0.07355337,0.603979731,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,VanillaMIPGurobi_8threads_1000.0m,success,-0.073511617,0.012474283,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,VanillaMIPGurobi_1threads_1000.0m,success,-0.073511617,0.010197857,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,VanillaMIPGLPK_1000.0m,success,-0.073511617,0.658910081,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,Sherlock_Gurobi_8threads_1000.0m,success,-0.073511617,0.019052284,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,Sherlock_Gurobi_1threads_1000.0m,success,-0.073511617,0.017058682,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,Sherlock_GLPK_1000.0m,success,-0.073511617,0.892682485,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,LBFGS,success,-0.059146133,0.350283251,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,PGD,success,-0.064811613,0.000863963,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,FGSM,success,-0.059146133,0.00021563,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Marabounosbt_ReLUViolation,success,-0.059146133,0.087786052,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Marabousbt_ReLUViolation,success,-0.059146133,0.115209439,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Marabounosbt_EarliestReLU,success,-0.059146133,0.09406486,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Marabousbt_EarliestReLU,success,-0.059146133,0.112598192,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_nosbt_ReLUViolation,success,-0.059150253,0.497073396,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_sbt_ReLUViolation,success,-0.059150253,0.589369812,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_nosbt_EarliestReLU,success,-0.059150253,0.503451214,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_sbt_EarliestReLU,success,-0.059150253,0.611252814,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,VanillaMIPGurobi_8threads_1000.0m,success,-0.059146133,0.014857136,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,VanillaMIPGurobi_1threads_1000.0m,success,-0.059146133,0.022582613,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,VanillaMIPGLPK_1000.0m,success,-0.059146133,0.644326436,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Sherlock_Gurobi_8threads_1000.0m,success,-0.059146133,0.017477234,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Sherlock_Gurobi_1threads_1000.0m,success,-0.059146133,0.019154706,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Sherlock_GLPK_1000.0m,success,-0.059146133,0.631550813,,,,,,,
AutoTaxi_32Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,LBFGS,success,-0.044780648,0.426739647,,,,,,,
